#UK 	NEON	BLIS	EXO
4x4 	1.126733	0.988997	19.287090
4x8 	4.426131	3.541131	22.377792
4x12 	12.760503	12.662244	22.666854
8x4 	2.250955	1.978154	26.548406
8x8 	8.883909	7.067527	28.270134
8x12 	27.238927	26.428888	28.163934
